Iteration,Discriminator Loss,Generator Loss
4480,1.301445,0.642739
4480,1.301445,0.642739
4490,1.251034,0.772245
4490,1.251034,0.772245
4500,1.319241,0.672884
4500,1.319241,0.672884
4510,1.263330,0.625765
4510,1.263330,0.625765
4520,1.228485,0.668327
4520,1.228485,0.668327
4530,1.309797,0.645531
4530,1.309797,0.645531
4540,1.296560,0.652170
4540,1.296560,0.652170
4550,1.292193,0.667117
4550,1.292193,0.667117
4560,1.304599,0.659951
4560,1.304599,0.659951
4570,1.263220,0.614806
4570,1.263220,0.614806
4580,1.168813,0.649013
4580,1.168813,0.649013
4590,1.326833,0.739053
4590,1.326833,0.739053
4600,1.283136,0.652793
4600,1.283136,0.652793
4610,1.277021,0.636137
4610,1.277021,0.636137
4620,1.313679,0.680742
4620,1.313679,0.680742
4630,1.284702,0.671875
4630,1.284702,0.671875
4640,1.292959,0.702577
4640,1.292959,0.702577
4650,1.272928,0.659646
4650,1.272928,0.659646
4660,1.260963,0.639289
4660,1.260963,0.639289
4670,1.237239,0.617299
4670,1.237239,0.617299
4680,1.320074,0.775530
4680,1.320074,0.775530
4690,1.238330,0.634627
4690,1.238330,0.634627
4700,1.286070,0.832093
4700,1.286070,0.832093
4710,1.313926,0.726962
4710,1.313926,0.726962
4720,1.282976,0.628199
4720,1.282976,0.628199
4730,1.289411,0.586378
4730,1.289411,0.586378
4740,1.266343,0.663593
4740,1.266343,0.663593
4750,1.364712,0.771310
4750,1.364712,0.771310
4760,1.331301,0.625327
4760,1.331301,0.625327
4770,1.308760,0.752905
4770,1.308760,0.752905
4780,1.290256,0.680503
4780,1.290256,0.680503
4790,1.296856,0.889861
4790,1.296856,0.889861
4800,1.302176,1.021079
4800,1.302176,1.021079
4810,1.297964,0.699137
4810,1.297964,0.699137
4820,1.252908,0.616441
4820,1.252908,0.616441
4830,1.289594,0.812939
4830,1.289594,0.812939
4840,1.300147,0.698196
4840,1.300147,0.698196
4850,1.344792,0.688947
4850,1.344792,0.688947
4860,1.290982,0.677157
4860,1.290982,0.677157
4870,1.176461,0.588075
4870,1.176461,0.588075
4880,1.327836,0.690846
4880,1.327836,0.690846
4890,1.285177,0.686601
4890,1.285177,0.686601
4900,1.282828,0.652730
4900,1.282828,0.652730
4910,1.303870,0.695940
4910,1.303870,0.695940
4920,1.291595,0.825442
4920,1.291595,0.825442
4930,1.314758,0.762946
4930,1.314758,0.762946
4940,1.308923,0.877125
4940,1.308923,0.877125
4950,1.289198,0.799814
4950,1.289198,0.799814
4960,1.356403,0.759917
4960,1.356403,0.759917
4970,1.296141,0.822712
4970,1.296141,0.822712
4980,1.214366,0.756184
4980,1.214366,0.756184
4990,1.338254,0.658809
4990,1.338254,0.658809
5000,1.326364,0.657202
5000,1.326364,0.657202
5010,1.273028,0.663928
5010,1.273028,0.663928
5020,1.299686,0.640994
5020,1.299686,0.640994
5030,1.289340,0.673677
5030,1.289340,0.673677
5040,1.261392,0.638981
5040,1.261392,0.638981
5050,1.286436,0.682190
5050,1.286436,0.682190
5060,1.317542,0.719917
5060,1.317542,0.719917
5070,1.326826,0.963462
5070,1.326826,0.963462
5080,1.272052,0.703867
5080,1.272052,0.703867
5090,1.276896,0.726104
5090,1.276896,0.726104
5100,1.311339,0.818803
5100,1.311339,0.818803
5110,1.239486,0.598737
5110,1.239486,0.598737
5120,1.257425,0.666814
5120,1.257425,0.666814
5130,1.300273,0.761928
5130,1.300273,0.761928
5140,1.280866,0.643628
5140,1.280866,0.643628
5150,1.284872,0.697841
5150,1.284872,0.697841
5160,1.324130,0.765616
5160,1.324130,0.765616
5170,1.250072,0.582545
5170,1.250072,0.582545
5180,1.314531,0.735056
5180,1.314531,0.735056
5190,1.281150,0.783224
5190,1.281150,0.783224
5200,1.290008,0.796759
5200,1.290008,0.796759
5210,1.274793,0.718258
5210,1.274793,0.718258
5220,1.255093,0.674897
5220,1.255093,0.674897
5230,1.256910,0.652476
5230,1.256910,0.652476
5240,1.346865,0.734063
5240,1.346865,0.734063
5250,1.236693,0.788965
5250,1.236693,0.788965
5260,1.312091,0.777113
5260,1.312091,0.777113
5270,1.251251,0.666399
5270,1.251251,0.666399
5280,1.258711,0.604947
5280,1.258711,0.604947
5290,1.307489,0.717658
5290,1.307489,0.717658
5300,1.278548,0.749894
5300,1.278548,0.749894
5310,1.253522,0.863220
5310,1.253522,0.863220
5320,1.291967,0.605433
5320,1.291967,0.605433
5330,1.317404,0.618905
5330,1.317404,0.618905
5340,1.269595,0.626853
5340,1.269595,0.626853
5350,1.254089,0.691440
5350,1.254089,0.691440
5360,1.337906,0.809299
5360,1.337906,0.809299
5370,1.261829,0.651424
5370,1.261829,0.651424
5380,1.321696,0.659074
5380,1.321696,0.659074
5390,1.282311,0.667962
5390,1.282311,0.667962
5400,1.272439,0.765633
5400,1.272439,0.765633
